VBA;M23_Add_Move_Del_Row 48;Funktionsweise des 'Verschiebe Zeilen' Knopfes;How the 'Move Lines' button works;Hoe de knop 'Lijnen verplaatsen' werkt;"Fonctionnement du bouton ""Déplacer les lignes""";How the 'Move Lines' button works;How the 'Move Lines' button works;Sådan fungerer knappen 'Flyt linjer'
VBA;M23_Add_Move_Del_Row 85;"Achtung: Zum verschieben von Zeilen müssen eine oder mehrere Zellen im Datenbereich der Tabelle markiert sein. Die entsprechenden Zeilen können dann per Maus verschoben werden.|
|
Der gewählte Bereich liegt (teilweise) außerhalb des Datenbereichs";"Attention: To move rows, one or more cells must be selected in the data area of ??the table. The corresponding lines can then be moved with the mouse. |
|
The selected area is (partly) outside the data area";"Let op: Om rijen te verplaatsen, moeten een of meer cellen worden geselecteerd in het gegevensgebied van de tabel. De bijbehorende lijnen kunnen vervolgens met de muis worden verplaatst. |
|
Het geselecteerde gebied bevindt zich (gedeeltelijk) buiten het gegevensgebied";"Attention: Pour déplacer des lignes, une ou plusieurs cellules doivent être sélectionnées dans la zone de données du tableau. Les lignes correspondantes peuvent ensuite être déplacées avec la souris. |
|
La zone sélectionnée est (en partie) en dehors de la zone de données";"Attention: To move rows, one or more cells must be selected in the data area of ??the table. The corresponding lines can then be moved with the mouse. The selected area is (partly) outside the data area";"Attention: To move rows, one or more cells must be selected in the data area of ??the table. The corresponding lines can then be moved with the mouse. The selected area is (partly) outside the data area";Bemærk: For at flytte rækker skal en eller flere celler vælges i dataområdet i tabellen. De tilsvarende linjer kan derefter flyttes med musen. || Det valgte område er (delvist) uden for dataområdet
VBA;M23_Add_Move_Del_Row 86;Zu verschiebende Zeile muss im Datenbereich der Tabelle liegen;Row to be moved must be in the data area of ??the table;De te verplaatsen rij moet zich in het gegevensgebied van de tabel bevinden;La ligne à déplacer doit se trouver dans la zone de données du tableau;Row to be moved must be in the data area of ??the table;Row to be moved must be in the data area of ??the table;Række, der skal flyttes, skal være i dataområdet i tabellen
VBA;M23_Add_Move_Del_Row 93;Zeilen verschieben: Bitte Zielposition mit der Maus oder der Tastatur wählen;Move lines: Please select the target position with the mouse or the keyboard;Lijnen verplaatsen: selecteer de doelpositie met de muis of het toetsenbord;Déplacer les lignes: veuillez sélectionner la position cible avec la souris ou le clavier;Move lines: Please select the target position with the mouse or the keyboard;Move lines: Please select the target position with the mouse or the keyboard;Flyt linjer: Vælg målpositionen med musen eller tastaturet
VBA;M23_Add_Move_Del_Row 93;"Fehler: Die Excel Seite wurde gewechselt während einer Änderung in einer Zelle. |
Die Änderungen können nicht überprüft werden ;-(|
|
Die Eingaben in einer Zelle müssen mit Enter abgeschlossen werden bevor die Seite gewechselt wird.";"Error: The Excel page was changed during a change in a cell. |
The changes cannot be checked ;-( |
|
The entries in a cell must be completed with Enter before the page is changed.";"Fout: de Excel-pagina is gewijzigd tijdens een wijziging in een cel. |
De wijzigingen kunnen niet worden gecontroleerd ;-( |
|
De vermeldingen in een cel moeten worden afgesloten met Enter voordat de pagina wordt gewijzigd.";"Erreur: la page Excel a été modifiée lors d'un changement dans une cellule. |
Les modifications ne peuvent pas être vérifiées ;-( |
|
Les entrées dans une cellule doivent être validées avec Entrée avant de modifier la page.";"Error: The Excel page was changed during a change in a cell. The changes cannot be checked ;-( The entries in a cell must be completed with Enter before the page is changed.";"Error: The Excel page was changed during a change in a cell. The changes cannot be checked ;-( The entries in a cell must be completed with Enter before the page is changed.";"Fejl: Excel-siden blev ændret under en ændring i en celle. | Ændringerne kan ikke kontrolleres ;-( || Indtastningerne i en celle skal udfyldes med Enter, før siden ændres."
VBA;M23_Add_Move_Del_Row 103;Fehler: Seite gewechselt während der Eingabe in einer Zelle;Error: page changed while entering in a cell;Fout: Pagina gewisseld tijdens het invoeren in een cel;Erreur: page modifiée lors de la saisie dans une cellule;Error: page changed while entering in a cell;Error: page changed while entering in a cell;Fejl: siden blev ændret under indtastning i en celle
VBA;M25_Columns 77;Fehler: Die Spalte ';Error: The column ';Fout: De kolom ';"Erreur: la colonne """;Error: The column ';Error: The column ';Fejl: kolonnen '
VBA;M25_Columns 78;' wurde nicht im Sheet ';' was not found in the sheet ';stond niet op het blad';«n'était pas sur la feuille»; was not found in the sheet '; was not found in the sheet ';blev ikke fundet i arket'
VBA;M30_Tools 368;"' gefunden!|
|
Die Spaltennamen dürfen nicht verändert werden";" ! |
|
The column names must not be changed";"gevonden! |
|
De kolomnamen mogen niet worden gewijzigd";" trouver! |
|
Les noms des colonnes ne doivent pas être modifiés";" gefunden!Die Spaltennamen dürfen nicht verändert werden";" gefunden!Die Spaltennamen dürfen nicht verändert werden"; ! || Kolonnenavnene må ikke ændres
VBA;M30_Tools 368;Fehler Spaltenname nicht gefunden;Error: Column name not found;Fout: Kolomnaam niet gevonden!;Erreur de nom de colonne introuvable;Error: Column name not found;Error: Column name not found;Fejl: Kolonnenavn ikke fundet
VBA;M30_Tools 370;Fehler: Das Programm ';Error: the program ';Fout: Het programma ';Erreur: le programme ';Error: the program ';Error: the program ';Fejl: programmet '
VBA;M30_Tools 370;existiert nicht im Standard Verzeichnis:;does not exist in the standard directory:;bestaat niet in de standaardmap:;n'existe pas dans le répertoire standard:;does not exist in the standard directory:;does not exist in the standard directory:;findes ikke i standardmappen:
VBA;M50_Exchange 104; nicht vorhanden; unavailable; niet beschikbaar; non disponible; unavailable; unavailable;utilgængelig
VBA;M50_Exchange 105;Fehler beim Wechsel in das Verzeichnis:;Error when changing to the directory:;Fout bij het veranderen van de map:;Erreur lors du changement de répertoire:;Error when changing to the directory:;Error when changing to the directory:;Fejl ved ændring til biblioteket:
VBA;M50_Exchange 106;Fehler beim Start der Farbauswahl;Error starting color picker;Fout bij starten van kleurkiezer;Erreur lors du démarrage du sélecteur de couleurs;Error starting color picker;Error starting color picker;Fejl ved start af farvevælger
VBA;M60_CheckColors 129;Fehler beim erzeugen der Disconnect Datei:;Error creating the Disconnect file:;Fout bij het maken van het bestand Verbinding verbreken:;Erreur lors de la création du fichier de déconnexion:;Error creating the Disconnect file:;Error creating the Disconnect file:;Fejl ved oprettelse af Disconnect-filen:
VBA;M60_CheckColors 130;Fehler beim trennen der Verbindung zum Arduino;Failed to disconnect the Arduino;Kan de Arduino niet ontkoppelen;Impossible de déconnecter l'Arduino;Failed to disconnect the Arduino;Failed to disconnect the Arduino;Kunne ikke frakoble Arduino
VBA;M60_CheckColors 170;Fehler beim erzeugen der Close Datei:;Error creating the close file:;Fout bij het sluiten van het bestand:;Erreur lors de la création fermeture du fichier:;Error creating the close file:;Error creating the close file:;Fejl ved oprettelse af den lukke fil:
VBA;M60_CheckColors 171;Fehler beim beenden des Farbtest Programms;Error ending the color test program;Fout bij het beëindigen van het kleurentestprogramma;Erreur lors de la fin du programme de test des couleurs;Error ending the color test program;Error ending the color test program;Fejl ved afslutning af farvetestprogrammet
VBA;M60_CheckColors 187;Fehler beim Schreiben der Parameter Datei:;Error writing the parameter file:;Fout bij het schrijven van het parameterbestand:;Erreur lors de l'écriture du fichier de paramètres:;Error writing the parameter file:;Error writing the parameter file:;Fejl ved skrivning af parameterfilen:
VBA;M60_CheckColors 188;Fehler beim Schreiben der Parameter Datei;Error writing the parameter file;Fout bij het schrijven van het parameterbestand;Erreur lors de l'écriture du fichier de paramètres;Error writing the parameter file;Error writing the parameter file;Fejl ved skrivning af parameterfilen
VBA;M60_CheckColors 287;Fehler beim Lesen der Datei:;Error reading file:;Fout bij het lezen van het bestand:;Erreur de lecture du fichier:;Error reading file:;Error reading file:;Fejl ved læsning af fil:
VBA;M60_CheckColors 288;Fehler beim Datei lesen;Failed to read file;Kan bestand niet lezen;Impossible de lire le fichier;Failed to read file;Failed to read file;Kunne ikke læse filen
VBA;M60_CheckColors 303;Fehler: Der Text ';Error: the text ';Fout: De tekst ';Erreur: le texte ';Error: the text ';Error: the text ';Fejl: teksten '
VBA;M60_CheckColors 304;' existiert nicht in der Datei:;' does not exist in the file:;' bestaat niet in het bestand:;' n'existe pas dans le fichier:; does not exist in the file:; does not exist in the file:;findes ikke i filen:
VBA;M60_CheckColors 317;Fehler: Anfang der Farbpalette nicht gefunden;Error: beginning of the color palette not found;Fout: Begin van het kleurenpalet niet gevonden;Erreur: début de la palette de couleurs introuvable;Error: beginning of the color palette not found;Error: beginning of the color palette not found;Fejl: begyndelsen af ??farvepaletten ikke fundet
VBA;M60_CheckColors 317;Fehler: Das Ende der Farbpalette wurde nicht gefunden in;Error: The end of the color palette was not found in;Fout: Het einde van het kleurenpalet is niet gevonden in;Erreur: la fin de la palette de couleurs est introuvable dans;Error: The end of the color palette was not found in;Error: The end of the color palette was not found in;Fejl: Enden af ??farvepaletten blev ikke fundet i
VBA;M60_CheckColors 318;Ende der Farbpalette nicht gefunden;End of color palette not found;Einde kleurenpalet niet gevonden;Fin de palette de couleurs introuvable;End of color palette not found;End of color palette not found;Slut på farvepalet findes ikke
VBA;M60_CheckColors 324;Fehler beim aktualisieren der Parameter Datei:;Error updating parameters file:;Fout bij bijwerken van parameterbestand:;Erreur lors de la mise à jour du fichier de paramètres:;Error updating parameters file:;Error updating parameters file:;Fejl ved opdatering af parameterfil:
VBA;M60_CheckColors 325;Fehler beim aktualisieren der Parameter Datei;Error updating the parameter file;Fout bij het bijwerken van het parameterbestand;Erreur lors de la mise à jour du fichier de paramètres;Error updating the parameter file;Error updating the parameter file;Fejl ved opdatering af parameterfilen
VBA;M60_CheckColors 354;Fehler beim aktualisieren der Datei;Failed to update the file;Bijwerken van het bestand is mislukt;Impossible de mettre à jour le fichier;Failed to update the file;Failed to update the file;Kunne ikke opdatere filen
VBA;M60_CheckColors 355;Fehler beim aktualisieren des COM Ports in der Parameter Datei:;Error when updating the COM port in the parameter file:;Fout bij het bijwerken van de COM-poort in het parameterbestand:;Erreur lors de la mise à jour du port COM dans le fichier de paramètres:;Error when updating the COM port in the parameter file:;Error when updating the COM port in the parameter file:;Fejl ved opdatering af COM-porten i parameterfilen:
VBA;M60_CheckColors 403;Fehler das Verzeichnis existiert nicht:;Error the directory does not exist:;Fout, de map bestaat niet:;Erreur le répertoire n'existe pas:;Error the directory does not exist:;Error the directory does not exist:;Fejl, biblioteket findes ikke:
VBA;M60_CheckColors 441;CheckColors Verzeichnis nicht vorhanden;CheckColors directory does not exist;De map CheckColors bestaat niet;Le répertoire CheckColors n'existe pas;CheckColors directory does not exist;CheckColors directory does not exist;CheckColors-biblioteket findes ikke
VBA;M60_CheckColors 720;Momentan ist die ältere Python Version ;The older Python version ;De oudere versie van Python is momenteel;L'ancienne version de Python est utilisée;The older Python version ;The older Python version ;Den ældre Python-version
VBA;M60_CheckColors 721; installiert. Es kann evtl. Probleme mit existierenden Python Programmen geben wenn ein neuerer Python Interpreter installiert wird.; is currently installed. There may be problems with existing Python programs when installing a newer Python interpreter.; geïnstalleerd. Er kunnen problemen zijn met bestaande Python-programma's bij het installeren van een nieuwere Python-interpreter.; installé. Il peut y avoir des problèmes avec les programmes Python existants lors de l'installation d'un interpréteur Python plus récent.; is currently installed. There may be problems with existing Python programs when installing a newer Python interpreter.; is currently installed. There may be problems with existing Python programs when installing a newer Python interpreter.; er i øjeblikket installeret. Der kan være problemer med eksisterende Python-programmer, når du installerer en nyere Python-tolk.
VBA;M60_CheckColors 734;Für das Farbauswahl Programm benötigt man entweder die Python Version ;For the color selection program you either need the Python version ;Voor het kleurselectieprogramma heeft u de Python-versie nodig;Pour le programme de sélection des couleurs, vous avez besoin de la version Python;For the color selection program you either need the Python version ;For the color selection program you either need the Python version ;Til farveudvælgelsesprogrammet har du enten brug for Python-versionen
VBA;M60_CheckColors 734; oder das davon unabhängige EXE Programm. Leider kann letzteres nicht mit der MobaLedLib verteilt werden, weil EXE Programme nicht in einer Arduino Bibliothek erlaubt sind.; or the independent EXE program. Unfortunately, the latter cannot be distributed with the MobaLedLib, because EXE programs are not allowed in an Arduino library.; of het onafhankelijke EXE-programma. Helaas kan dit laatste niet worden gedistribueerd met de MobaLedLib, omdat EXE-programma's niet zijn toegestaan ??in een Arduino-bibliotheek.; ou le programme EXE indépendant. Malheureusement, ce dernier ne peut pas être distribué avec MobaLedLib, car les programmes EXE ne sont pas autorisés dans une bibliothèque Arduino.; or the independent EXE program. Unfortunately, the latter cannot be distributed with the MobaLedLib, because EXE programs are not allowed in an Arduino library.; or the independent EXE program. Unfortunately, the latter cannot be distributed with the MobaLedLib, because EXE programs are not allowed in an Arduino library.;eller det uafhængige EXE-program. Desværre kan sidstnævnte ikke distribueres med MobaLedLib, fordi EXE-programmer ikke er tilladt i et Arduino-bibliotek.
VBA;M60_CheckColors 736;"Soll das eigenständige Exe Programm verwendet werden ?|
|
Ja:    Das Programm wird automatisch herunter geladen|
Nein: Python muss manuell installiert werden";"Should the standalone Exe program be used? |
|
Yes: the program will be downloaded automatically |
No:  Python must be installed manually";"Moet het zelfstandige Exe-programma worden gebruikt? |
|
Ja:      Het programma wordt automatisch gedownload |
Nee: Python moet handmatig worden geïnstalleerd";"Faut-il utiliser le programme Exe autonome? |
|
Oui:  Le programme sera téléchargé automatiquement |
Non: Python doit être installé manuellement";"Should the standalone Exe program be used? Yes: the program will be downloaded automatically No:  Python must be installed manually";"Should the standalone Exe program be used? Yes: the program will be downloaded automatically No:  Python must be installed manually";Bør det fristående Exe-program bruges? || Ja: programmet bliver automatisk downloadet | Nej: Python skal installeres manuelt
VBA;M60_CheckColors 738;Variante des Farbauswahl Programms bestimmen;Determine variant of the color selection program;Bepaal de variant van het kleurselectieprogramma;Déterminer la variante du programme de sélection des couleurs;Determine variant of the color selection program;Determine variant of the color selection program;Bestem variant af program for valg af farve
VBA;M60_CheckColors 745;"Das Farbauswahl Programm wird von Github herunter geladen. Dazu wird eine Internetverbindung benötigt.|
Nach dem dieses Meldung bestätigt ist wird ein Kommando Fenster geöffnet in dem der Download ausgeführt wird.|
|
Achtung: Es kann einige Zeit dauern bis die Verbindung aufgebaut ist. In dieser Zeit ist keine Meldung zu sehen";"The color selection program is downloaded from Github. An Internet connection is required. |
After this message has been confirmed, a command window is opened in which the download is carried out. |
|
Attention: It may take some time until the connection is established. No message can be seen during this time";"Het kleurselectieprogramma wordt gedownload van Github. Een internetverbinding is vereist. |
Nadat dit bericht is bevestigd, wordt een opdrachtvenster geopend waarin de download wordt uitgevoerd. |
|
Let op: het kan enige tijd duren voordat de verbinding tot stand is gebracht. Gedurende deze tijd kan geen bericht worden gezien";"Le programme de sélection des couleurs est téléchargé depuis Github. Une connexion Internet est requise. |
Une fois ce message confirmé, une fenêtre de commande s'ouvre dans laquelle le téléchargement est effectué. |
|
Attention: La connexion peut prendre un certain temps. Aucun message ne peut être vu pendant cette période";"The color selection program is downloaded from Github. An Internet connection is required. After this message has been confirmed, a command window is opened in which the download is carried out. Attention: It may take some time until the connection is established. No message can be seen during this time";"The color selection program is downloaded from Github. An Internet connection is required. After this message has been confirmed, a command window is opened in which the download is carried out. Attention: It may take some time until the connection is established. No message can be seen during this time";Programmet til valg af farve downloades fra Github. En internetforbindelse er påkrævet. | Når denne meddelelse er bekræftet, åbnes et kommandovindue, hvor overførslen udføres. || Opmærksomhed: Det kan tage nogen tid, før forbindelsen er etableret. Ingen meddelelse kan ses i løbet af dette tidsrum
VBA;M60_CheckColors 746;Download der EXE Datei;Download the EXE file;Download het EXE-bestand;Téléchargez le fichier EXE;Download the EXE file;Download the EXE file;Download EXE-filen
VBA;M60_CheckColors 751;"Beim herunter laden des Farbtest Programms ist etwas schief gegangen ;-(";"Something went wrong when downloading the color test program ;-(";"Er is iets misgegaan bij het downloaden van het kleurentestprogramma ;-(";"Une erreur s'est produite lors du téléchargement du programme de test des couleurs ;-(";"Something went wrong when downloading the color test program ;-(";"Something went wrong when downloading the color test program ;-(";"Der gik noget galt, når du downloadede farvetestprogrammet ;-("
VBA;M60_CheckColors 752;Fehler beim herunter laden des Farbtest Programms;Error when downloading the color test program;Fout bij het downloaden van het kleurentestprogramma;Erreur lors du téléchargement du programme de test des couleurs;Error when downloading the color test program;Error when downloading the color test program;Fejl ved download af farvetestprogrammet
VBA;M60_CheckColors 758;"Die Download Seite von Python wird gleich geöffnet. Dort lädt man die neueste Python Version für Windows herunter und installiert sie.|
Bei der Installation muss das Häkchen bei 'Add Python ... to Path' gesetzt werden.|
Diese Häkchen befindet sich auf der ersten Seite unten, gleich beim start der Installation.|
|
Anschließend muss Excel geschlossen werden sonst wird Python nicht gefunden. Evtl. muss der Rechner auch neu gestartet werden (Windows ist toll)|
Dann kann die Farbauswahl Funktion benutzt werden.";"The Python download page will open shortly. There you can download and install the latest version of Python for Windows. |
When installing, you must tick 'Add Python ... to Path'. |This check mark is on the first page below, right at the start of the installation . |
|
Then Excel must be closed otherwise Python will not be found. Possibly. The computer must also be restarted (Windows is great) |
Then the color selection function can be used.";"De Python-downloadpagina wordt binnenkort geopend. Daar kunt u de nieuwste versie van Python voor Windows downloaden en installeren. |
Bij installatie moet u 'Python toevoegen ... aan pad' aanvinken. |
Dit vinkje bevindt zich op de eerste pagina hieronder, direct aan het begin van de installatie.. |
|
Vervolgens moet Excel worden gesloten, anders wordt Python niet gevonden. Mogelijk moet de computer ook opnieuw worden opgestart (Windows is geweldig) |
Dan kan de kleurselectiefunctie worden gebruikt.";"La page de téléchargement de Python s'ouvrira sous peu. Vous pouvez y télécharger et installer la dernière version de Python pour Windows. |
Lors de l'installation, vous devez cocher 'Ajouter Python ... au chemin'. |
Cette coche se trouve sur la première page ci-dessous, juste au début de l'installation . |
|
Ensuite, Excel doit être fermé sinon Python ne sera pas trouvé. peut-être l'ordinateur doit également être redémarré (Windows est génial) |
Ensuite, la fonction de sélection des couleurs peut être utilisée.";"The Python download page will open shortly. There you can download and install the latest version of Python for Windows. When installing, you must tick 'Add Python ... to Path'. |This check mark is on the first page below, right at the start of the installation . Then Excel must be closed otherwise Python will not be found. Possibly. The computer must also be restarted (Windows is great) Then the color selection function can be used.";"The Python download page will open shortly. There you can download and install the latest version of Python for Windows. When installing, you must tick 'Add Python ... to Path'. |This check mark is on the first page below, right at the start of the installation . Then Excel must be closed otherwise Python will not be found. Possibly. The computer must also be restarted (Windows is great) Then the color selection function can be used.";Python-downloadsiden åbner snart. Der kan du downloade og installere den nyeste version af Python til Windows. | Ved installation skal du markere 'Tilføj Python ... til sti'. | Dette flueben er på den første side nedenfor lige ved installationen. || Derefter skal Excel lukkes, ellers findes Python ikke. Eventuelt. Computeren skal også genstartes (Windows er fantastisk) | Derefter kan funktionen til valg af farve bruges.
VBA;M60_CheckColors 759;Download und Installation von Python;Download and install Python;Download en installeer Python;Téléchargez et installez Python;Download and install Python;Download and install Python;Download og installer Python
VBA;M60_CheckColors 771;"Soll die Standard Farbtabelle geladen werden oder die zuletzt benutzte Tabelle benutzt werden?|
|
Ja: Standard Farbtabelle laden|
Nein: Letzte Farbtabelle verwenden";"Should the standard color table be loaded or should the last table be used? |
|
Yes: Load standard color table |
No:  Use last color table";"Moet de standaardkleurentabel worden geladen of moet de laatst gebruikte tabel worden gebruikt? |
|
Ja:      Standaardkleurentabel laden |
Nee: Laatste kleurentabel gebruiken";"La table de couleurs standard doit-elle être chargée ou la dernière table utilisée doit-elle être utilisée? |
|
Oui:  Charger la table de couleurs standard | 
Non: Utiliser la dernière table de couleurs";"Should the standard color table be loaded or should the last table be used? Yes: Load standard color table No:  Use last color table";"Should the standard color table be loaded or should the last table be used? Yes: Load standard color table No:  Use last color table";Skal standardfarvetabellen indlæses, eller skal den sidste tabel bruges? || Ja: Indlæs standardfarvetabel | Nej: Brug den sidste farvetabel
VBA;M60_CheckColors 772;Standard oder letzte Benutzer Farbtabelle verwenden?;Use standard or last user color table?;Gebruik standaard of laatste gebruiker kleurentabel?;Utiliser une table de couleurs standard ou dernier utilisateur?;Use standard or last user color table?;Use standard or last user color table?;Brug standard eller sidste brugerfarvetabel?
VBA;M60_CheckColors 802;Fehler: Die Zeile muss im Prog_Generator Excel Programm ausgewählt werden;Error: The line must be selected in the Prog_Generator Excel program;Fout: De regel moet worden geselecteerd in het Prog_Generator Excel-programma;Erreur: la ligne doit être sélectionnée dans le programme Prog_Generator Excel;Error: The line must be selected in the Prog_Generator Excel program;Error: The line must be selected in the Prog_Generator Excel program;Fejl: Linjen skal vælges i Prog_Generator Excel-programmet
VBA;M60_CheckColors 804;Fehler: Das Ausgewählte Excel Blatt ist keine gültige Prog_Generator Konfigurationsseite;Error: The selected Excel sheet is not a valid Prog_Generator configuration page;Fout: Het geselecteerde Excel-blad is geen geldige Prog_Generator-configuratiepagina;Erreur: la feuille Excel sélectionnée n'est pas une page de configuration Prog_Generator valide;Error: The selected Excel sheet is not a valid Prog_Generator configuration page;Error: The selected Excel sheet is not a valid Prog_Generator configuration page;Fejl: Det valgte Excel-ark er ikke en gyldig Prog_Generator-konfigurationsside
VBA;Select_ProgGen_Dest_Form 19;Fehler: Die Ausgewählte Zeile ist nicht innerhalb des gültigen Bereichs;Error: The selected line is not within the valid range;Fout: De geselecteerde regel valt niet binnen het geldige bereik;Erreur: la ligne sélectionnée n'est pas dans la plage valide;Error: The selected line is not within the valid range;Error: The selected line is not within the valid range;Fejl: Den valgte linje er ikke inden for det gyldige interval
VBA;Select_ProgGen_Dest_Form 22;Achtung: Die ausgewählte Zeile enthält kein Makro welches vom Pattern_Generator importiert werden kann.;Attention: The selected line does not contain a macro which can be imported from the Pattern_Generator.;Let op: de geselecteerde regel bevat geen macro die kan worden geïmporteerd uit de Pattern_Generator.;Attention: La ligne sélectionnée ne contient pas de macro pouvant être importée depuis Pattern_Generator.;Attention: The selected line does not contain a macro which can be imported from the Pattern_Generator.;Attention: The selected line does not contain a macro which can be imported from the Pattern_Generator.;OBS: Den valgte linje indeholder ikke en makro, der kan importeres fra Pattern_Generator.
VBA;Select_ProgGen_Dest_Form 28;Fehler bei der Auswahl der Zielzeile;Error selecting target line;Fout bij het selecteren van doel regel;Erreur lors de la sélection de la ligne cible;Error selecting target line;Error selecting target line;Fejl ved valg af mållinje
VBA;Select_ProgGen_Src_Form 31;"Das Haus enthält noch keine Räume|
Bitte wählen die mindestens einen Raumtyp aus";"The house does not yet contain any rooms |
Please select at least one room type";"Het huis bevat nog geen kamers |
Selecteer minimaal één kamertype";"La maison ne contient pas encore de chambres |
Veuillez sélectionner au moins un type de chambre";"The house does not yet contain any rooms Please select at least one room type";"The house does not yet contain any rooms Please select at least one room type";Huset indeholder endnu ingen værelser | Vælg mindst en værelsestype
VBA;Select_ProgGen_Src_Form 37;Kein Raum ausgewählt;No room selected;Geen kamer geselecteerd;Aucune chambre sélectionnée;No room selected;No room selected;Intet værelse valgt
VBA;UserForm_House 177;Anzahl: ;Number:;toevoegen:;Ajouter:;Number:;Number:;Nummer:
VBA;UserForm_House 177;RGB LED Kanäle: ;RGB LED channels:;RGB LED-kanalen:;Canaux LED RVB:;RGB LED channels:;RGB LED channels:;RGB LED-kanaler:
VBA;UserForm_House 252;Es können keine weiteren Räume hinzugefügt werden;No more rooms can be added;Er kunnen geen kamers meer worden toegevoegd;Plus aucune pièce ne peut être ajoutée;No more rooms can be added;No more rooms can be added;Der kan ikke tilføjes flere værelser
VBA;UserForm_House 253;Maximale Raumanzahl erreicht;Maximum number of rooms reached;Maximaal aantal kamers bereikt;Nombre maximum de chambres atteint;Maximum number of rooms reached;Maximum number of rooms reached;Maksimalt antal værelser nået
VBA;UserForm_House 582;Gaslights: Die Gaslaternen werden zufällig, nacheinander aktiviert. Sie erreichen erst nach einiger Zeit die volle Helligkeit und flackern manchmal.;Gaslights: The gas lanterns are activated randomly, one after the other. They only reach full brightness after some time and sometimes flicker.;Gaslichten: De gaslantaarns worden willekeurig na elkaar geactiveerd. Ze bereiken pas na enige tijd de volledige helderheid en flikkeren soms.;Lampes à gaz: Les réverbères à gaz sont activés au hasard, l'une après l'autre. Ils n'atteignent leur pleine luminosité qu'après un certain temps et scintillent parfois.;Gaslights: The gas lanterns are activated randomly, one after the other. They only reach full brightness after some time and sometimes flicker.;Gaslights: The gas lanterns are activated randomly, one after the other. They only reach full brightness after some time and sometimes flicker.;Gaslygter: Gaslyktterne aktiveres tilfældigt, den ene efter den anden. De når kun fuld lysstyrke efter et stykke tid og flimrer nogle gange.
VBA;UserForm_House 582;Straßenlaternen sind ein wichtiger Bestandteil einer virtuellen Stadt. Sie beleuchten die nächtlichen Straßen und erzeugen eine warme Atmosphäre insbesondere, wenn es sich um Gaslaternen handelt. Die Lampen gehen zufällig an und werden dann langsam heller bis sie die volle Helligkeit erreichen. Außerdem ist noch ein zufälliges Flackern implementiert welches durch Schwankungen im Gasdruck oder durch Windböen entstehen kann.;Street lights are an important part of a virtual city. They illuminate the night streets and create a warm atmosphere, especially when it comes to gas lamps. The lamps come on randomly and then slowly become brighter until they reach full brightness. In addition, a random flickering is implemented which can be caused by fluctuations in the gas pressure or by wind gusts.;Straatverlichting is een belangrijk onderdeel van een virtuele stad. Ze verlichten de nachtstraten en creëren een warme sfeer, vooral als het gaat om gaslampen. De lampen gaan willekeurig aan en worden dan langzaam helderder totdat ze de volledige helderheid bereiken. Bovendien wordt een willekeurig flikkeren geïmplementeerd dat kan worden veroorzaakt door schommelingen in de gasdruk of door windvlagen.;Les réverbères sont important dans une ville virtuelle. Ils illuminent les rues sombres et créent une atmosphère chaleureuse, surtout lorsqu'il s'agit de lampes à gaz. Les lampes s'allument de façon aléatoire en devenant progressivement plus lumineuses jusqu'à un éclairage maximum. De plus, un scintillement aléatoire est mis en uvre qui est du à des fluctuations de la pression du gaz ou par des rafales de vent.;Street lights are an important part of a virtual city. They illuminate the night streets and create a warm atmosphere, especially when it comes to gas lamps. The lamps come on randomly and then slowly become brighter until they reach full brightness. In addition, a random flickering is implemented which can be caused by fluctuations in the gas pressure or by wind gusts.;Street lights are an important part of a virtual city. They illuminate the night streets and create a warm atmosphere, especially when it comes to gas lamps. The lamps come on randomly and then slowly become brighter until they reach full brightness. In addition, a random flickering is implemented which can be caused by fluctuations in the gas pressure or by wind gusts.;Gadelys er en vigtig del af en virtuel by. De oplyser natgader og skaber en varm atmosfære, især når det kommer til gaslamper. Lamperne tændes tilfældigt og bliver derefter langsomt lysere, indtil de når fuld lysstyrke. Derudover implementeres en tilfældig flimring, der kan være forårsaget af udsving i gastrykket eller af vindkast.
